# DT-019 review queue: the 132 UN international days added to dataset/international/un-international-days.json on
# 2026-09-23 (R07/D-05, ADR-0042) with a machine-translated Persian title marked `titleReview: ["fa"]`, because no
# primary Persian source (UNIC Tehran or the United Nations in Iran) names them. This file used to be a sourcing
# blocker (these days were excluded from the dataset); it is now a review queue: each row is a record already
# shipped, whose `fa` title still needs a human reviewer, ideally checked against a native Persian source when one
# appears. Reviewing a row means editing the record's `fa` title in the dataset and removing "fa" from its
# `titleReview` array (docs/i18n/TRANSLATING.md's `MT: needs review` marker is the same idea for app strings).
# the archived UN Information Centre Tehran list (2012-10-05) and every reachable Persian page of iran.un.org and of the UNIC Tehran archive were searched on 2026-09-18; these days are named on none of them
# 2026-09-23 (R07/D-05 re-check, docs/data-todo/un-days-sourcing.md): iran.un.org's newest posts (through 2026-09-21) were re-checked and name no day of this list; two days newly proclaimed since the 2026-09-18 pass were added: World Turkic Language Family Day (un.world-turkic-language-family-day, UNESCO 2025) and International Day of Recognition for Women Searchers of Missing Persons (un.women-searchers-missing-persons-day, UN GA 2026) — both too recent for a Persian source to exist yet
# the 10 international weeks on the UN list are now shipped as `Week` rule records (ADR-0046, DT-041, 2026-09-24); like the 132 days above, none has an official Persian source, so each carries a machine-translated title and is queued below for review: un.interfaith-harmony-week, un.racism-solidarity-week, un.immunization-week, un.non-self-governing-week, un.breastfeeding-week, un.science-and-peace-week, un.amr-awareness-week, un.media-information-literacy-week, un.space-week, un.disarmament-week
# Vesak (UN GA res. 54/115) is tracked separately as DT-040: its blocker is a missing rule type (the day of the full moon in May), not a missing Persian title
# columns: dataset id	English title (dataset)	official source page (observance page, or resolution/proclamation document)
un.kiswahili-day	World Kiswahili Language Day	https://www.un.org/en/observances/kiswahili-day
un.srebrenica-genocide-commemoration-day	International Day of Reflection and Commemoration of the 1995 Genocide in Srebrenica	https://www.un.org/en/observances/srebrenica-genocide-commemoration-day
un.horse-day	World Horse Day	https://www.un.org/en/observances/horse-day
un.day-of-combating-sand-and-dust-storms	International Day of Combating Sand and Dust Storms	https://www.un.org/en/observances/day-of-combating-sand-and-dust-storms
un.hope-day	International Day of Hope	https://www.un.org/en/observances/hope-day
un.world-youth-skills-day	World Youth Skills Day	https://www.un.org/en/observances/world-youth-skills-day
un.moon-day	International Moon Day	https://www.un.org/en/observances/moon-day
un.world-chess-day	World Chess Day	https://www.un.org/en/observances/world-chess-day
un.judicial-well-being-day	International Day for Judicial Well-being	https://www.un.org/en/observances/judicial-well-being-day
un.women-girls-african-descent	International Day of Women and Girls of African Descent	https://www.un.org/en/observances/women-girls-african-descent
un.drowning-prevention-day	World Drowning Prevention Day	https://www.un.org/en/observances/drowning-prevention-day
un.world-hepatitis-day	World Hepatitis Day	https://www.who.int/campaigns/world-hepatitis-day
un.friendship-day	International Day of Friendship	https://www.un.org/en/observances/friendship-day
un.landlocked-developing-countries-day	International Day of Awareness of the Special Development Needs and Challenges of Landlocked Developing Countries	https://www.un.org/en/observances/landlocked-developing-countries-day
un.steelpan-day	World Steelpan Day	https://www.un.org/en/observances/steelpan-day
un.religious-based-violence-victims-day	International Day Commemorating the Victims of Acts of Violence Based on Religion or Belief	https://www.un.org/en/observances/religious-based-violence-victims-day
un.world-lake-day	World Lake Day	https://www.un.org/en/observances/world-lake-day
un.victims-enforced-disappearance	International Day of the Victims of Enforced Disappearances	https://www.un.org/en/observances/victims-enforced-disappearance
un.african-descent-day	International Day for People of African Descent	https://www.un.org/en/observances/african-descent-day
un.charity-day	International Day of Charity	https://www.un.org/en/observances/charity-day
un.indigenous-women-day	International Day of the World's Indigenous Women and Girls	https://www.un.org/en/observances/indigenous-women-day
un.police-cooperation-day	International Day of Police Cooperation	https://www.un.org/en/observances/police-cooperation-day
un.duchenne-awareness-day	World Duchenne Awareness Day	https://www.un.org/en/observances/duchenne-awareness-day
un.interventional-cardiology-day	International Day for Interventional Cardiology	https://www.un.org/en/observances/interventional-cardiology-day
un.science-technology-and-innovation-for-south-day	International Day of Science, Technology and Innovation for the South	https://www.un.org/en/observances/science-technology-and-innovation-for-south-day
un.world-patient-safety-day	World Patient Safety Day	https://www.who.int/campaigns/world-patient-safety-day/
un.equal-pay-day	International Equal Pay Day	https://www.un.org/en/observances/equal-pay-day
un.cleanup-day	World Cleanup Day	https://www.un.org/en/observances/cleanup-day
