# source: GeoNames gazetteer, Iran (IR) — administrative divisions, admin level 1 (province) and 2 (county / shahrestan)
# url: https://download.geonames.org/export/dump/IR.zip
# sha256: a508c1962f00e637217e42b114d9dec1187abe6db73a9db56731f60dc0d9541f
# altnames-source: GeoNames alternate names, Iran (IR) — fa/ps/ckb/az/uz/ms/tg/ne/ta names by geonameid, plus kmr from the Latin-script (Hawar-alphabet) half of the generic `ku` tag (DT-020; prs checked and not usable, see this file's generator docstring)
# altnames-url: https://download.geonames.org/export/dump/alternatenames/IR.zip
# altnames-sha256: 52a2f2c70206baa69bc3c9fc65c0426751affb501d3042ff384c9fa20ee19b8e
# retrieved: 2026-09-25
# licence: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/ (GeoNames, https://www.geonames.org/about.html); config/license/allowed-licenses.json dataLicenses, ADR-0039
# generator: tools/geodata/geonames_iran_divisions.py
# notes: no district (admin level 3 / bakhsh) rows — GeoNames' Iran admin3 coverage is 7 records, far short of the real count (docs/DATA_TODO.md DT-021); a division with no published alternate name in a language has an empty field for it; coverage per language (of 466 divisions): fa=463, ps=31, ckb=30, az=32, uz=31, ms=31, tg=32, ne=1, ta=30, kmr=31
# columns: code,level,parentCode,en,latitude,longitude,fa,ps,ckb,az,uz,ms,tg,ne,ta,kmr
449591	COUNTY	07	Marvdasht	30.10564	52.63615	شهرستان مرودشت									
449593	COUNTY	07	Mohr	27.62265	52.74274	شهرستان مهر									
9520534	COUNTY	07	Rostam	30.40000	51.37090	شهرستان رستم									
449574	COUNTY	07	Shahrestān-e Arsanjān	29.83704	53.38778	شهرستان ارسنجان									
449577	COUNTY	07	Shahrestān-e Bavānāt	30.29121	53.67292	شهرستان بوانات									
449580	COUNTY	07	Shahrestān-e Dārāb	28.56667	54.95000	شهرستان داراب									
8620947	COUNTY	07	Shahrestān-e Eqlīd	30.70000	52.40000	شهرستان اقليد									
449575	COUNTY	07	Shahrestān-e Estahbān	29.11667	54.00000	شهرستان استهبان									
449584	COUNTY	07	Shahrestān-e Farrāshband	28.61061	52.20052	شهرستان فراشبند									
68471	COUNTY	07	Shahrestān-e Fasā	28.94922	53.78896	شهرستان فسا									
449586	COUNTY	07	Shahrestān-e Fīrūzābād	28.89565	52.56201	شهرستان فيروزآباد									
9520869	COUNTY	07	Shahrestān-e Gerāsh	27.65699	53.69659	شهرستان گراش									
9520867	COUNTY	07	Shahrestān-e Kavār	29.22092	52.71424	شهرستان کوار									
9520866	COUNTY	07	Shahrestān-e Kherāmeh	29.50100	53.26700	شهرستان خرامه									
449579	COUNTY	07	Shahrestān-e Khorrambīd	30.57112	53.13523	شهرستان خرم بيد									
449588	COUNTY	07	Shahrestān-e Kāzerūn	29.52107	51.71275	شهرستان کارزون									
449590	COUNTY	07	Shahrestān-e Lāmerd	27.39316	53.31900	شهرستان لامرد									
449589	COUNTY	07	Shahrestān-e Lārestān	27.71290	54.47730	شهرستان لارستان									
449594	COUNTY	07	Shahrestān-e Neyrīz	29.33333	54.33333	شهرستان نيريز									
9520865	COUNTY	07	Shahrestān-e Pāsārgād	30.13977	53.15304	شهرستان پاسارگاد									
449587	COUNTY	07	Shahrestān-e Qīr va Kārzīn	28.34401	52.91571	شهرستان قير و کارزين									
9520868	COUNTY	07	Shahrestān-e Sarvestān	29.21667	53.13333	شهرستان سروستان									
449582	COUNTY	07	Shahrestān-e Sepīdān	30.15000	52.10000	شهرستان سپيدان									
449583	COUNTY	07	Shahrestān-e Shīrāz	29.59851	52.43280	شهرستان شيراز									
449581	COUNTY	07	Shahrestān-e Zarrīn Dasht	28.30000	54.46667	شهرستان زرين دشت									
449573	COUNTY	07	Shahrestān-e Ābādeh	31.25000	52.50000	شهرستان آباده									
449651	COUNTY	08	Amlash	36.96667	50.15000	شهرستان املش									
449653	COUNTY	08	Rasht	37.26667	49.63333	شهرستان رشت									
